deaths,cases,Country,Date
7,19,Nigeria,26/01/15
1,4,United States of America,26/01/15
,1,United Kingdom,26/01/15
,3136,Liberia,26/01/15
,7,Mali,26/01/15
2829,7963,Sierra Leone,26/01/15
0,1,Spain,26/01/15
,1,United Kingdom,27/01/15
2833,7968,Sierra Leone,27/01/15
1578,2569,Guinea,27/01/15
0,1,Senegal,27/01/15
7,19,Nigeria,27/01/15
1,4,United States of America,27/01/15
,7,Mali,27/01/15
,3138,Liberia,27/01/15
0,1,Spain,27/01/15
2833,7968,Sierra Leone,28/01/15
7,19,Nigeria,28/01/15
1,4,United States of America,28/01/15
,3138,Liberia,28/01/15
0,1,Spain,28/01/15
0,1,Senegal,28/01/15
,1,United Kingdom,28/01/15
,7,Mali,28/01/15
1578,2569,Guinea,28/01/15
1579,2571,Guinea,29/01/15
1,4,United States of America,29/01/15
2841,7977,Sierra Leone,29/01/15
7,19,Nigeria,29/01/15
,3138,Liberia,29/01/15
0,1,Senegal,29/01/15
,7,Mali,29/01/15
,1,United Kingdom,29/01/15
0,1,Spain,29/01/15
1581,2575,Guinea,30/01/15
1,4,United States of America,30/01/15
0,1,Spain,30/01/15
2850,7989,Sierra Leone,30/01/15
,3138,Liberia,30/01/15
,7,Mali,30/01/15
0,1,Senegal,30/01/15
,1,United Kingdom,30/01/15
7,19,Nigeria,30/01/15
0,1,Senegal,02/02/15
,1,United Kingdom,02/02/15
,7,Mali,02/02/15
,3138,Liberia,02/02/15
2908,8042,Sierra Leone,02/02/15
7,19,Nigeria,02/02/15
0,1,Spain,02/02/15
1595,2593,Guinea,02/02/15
1,4,United States of America,02/02/15
0,1,Senegal,03/02/15
1597,2608,Guinea,03/02/15
,7,Mali,03/02/15
0,1,Spain,03/02/15
2910,8059,Sierra Leone,03/02/15
1,4,United States of America,03/02/15
7,19,Nigeria,03/02/15
,1,United Kingdom,03/02/15
,3143,Liberia,03/02/15
7,19,Nigeria,04/02/15
,3143,Liberia,04/02/15
1,4,United States of America,04/02/15
1597,2608,Guinea,04/02/15
0,1,Spain,04/02/15
2910,8059,Sierra Leone,04/02/15
,7,Mali,04/02/15
,1,United Kingdom,04/02/15
0,1,Senegal,04/02/15
